Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
83,7,Long,F,Yes,25,No,No,No,No,No,Yes,No
84,4.79,Short,F,No,50,Yes,Yes,No,No,Yes,Yes,No
85,8.81,Long,M,No,50,No,No,No,No,No,No,No
86,4.8,Medium,F,Yes,38,No,No,Yes,No,No,No,No
87,9.66,Medium,M,No,42,No,No,No,No,No,No,No
88,2.5,Medium,F,No,50,No,No,No,Yes,Yes,No,No
89,3.8,Medium,F,No,27,No,No,No,No,No,No,No
90,8.48,Long,M,No,51,No,No,No,No,No,No,No
91,9.72,Short,M,No,34,No,No,No,No,No,No,No
92,7.38,Medium,F,Yes,45,No,No,No,No,Yes,No,No
93,6.74,Short,M,No,51,Yes,No,No,No,Yes,No,No
94,8.9,Medium,M,Yes,29,No,No,No,No,Yes,No,No
95,4.38,Long,F,No,53,Yes,No,No,No,No,No,No
96,7.92,Medium,M,Yes,38,No,No,Yes,No,Yes,No,Yes
97,9,Medium,M,No,46,No,Yes,No,No,No,Yes,No
98,6.47,Medium,M,No,42,No,No,No,No,No,No,No
99,4.16,Long,M,Yes,45,Yes,Yes,No,No,Yes,Yes,No
100,8.96,Long,F,No,37,No,No,No,No,No,Yes,No
101,3.72,Long,M,No,50,Yes,No,No,Yes,Yes,No,No
102,4.21,Medium,M,No,38,No,No,No,No,No,No,No
103,5.71,Short,M,Yes,52,Yes,Yes,No,Yes,Yes,Yes,No
104,5,Long,F,Yes,28,Yes,No,No,Yes,Yes,No,Yes
105,4.48,Medium,M,Yes,24,No,No,Yes,No,No,No,No
106,6.13,Medium,F,No,43,No,No,No,No,Yes,No,No
107,5.13,Medium,F,No,48,No,Yes,Yes,No,No,No,No
108,8.77,Short,F,Yes,30,Yes,No,No,No,Yes,Yes,No
109,4.45,Long,F,No,50,Yes,Yes,Yes,No,No,Yes,No
110,4.35,Medium,M,Yes,29,No,Yes,No,No,No,Yes,No
111,6.19,Short,M,Yes,39,No,No,No,No,Yes,No,No
112,7.83,Long,F,Yes,31,Yes,No,Yes,No,Yes,Yes,No
113,7.48,Long,F,Yes,29,No,No,No,No,No,Yes,No
114,3.3,Medium,F,No,52,No,No,No,No,Yes,No,Yes
115,3.43,Long,F,Yes,40,Yes,No,No,No,No,Yes,Yes
116,2.17,Medium,M,Yes,52,No,No,No,No,Yes,No,Yes
117,4.72,Medium,F,No,42,Yes,No,Yes,No,Yes,Yes,No
118,4.23,Long,M,Yes,18,Yes,No,No,No,No,Yes,No
119,8.7,Medium,F,No,46,No,No,No,Yes,No,No,Yes
120,2.92,Medium,M,Yes,43,No,No,No,No,No,Yes,No
121,4.54,Medium,M,Yes,27,Yes,Yes,Yes,No,No,Yes,No
122,10.02,Short,F,No,33,No,No,No,No,No,Yes,No
123,5.45,Long,F,Yes,26,Yes,Yes,Yes,No,No,Yes,Yes
124,2.25,Short,F,No,45,Yes,No,No,No,No,Yes,No
125,2.08,Short,M,Yes,27,No,No,No,No,Yes,No,No
126,3.15,Medium,M,No,29,No,No,No,Yes,No,No,No
127,9.66,Short,M,Yes,46,No,Yes,No,No,No,Yes,No
128,7.13,Short,F,Yes,51,No,No,Yes,No,No,No,No
129,9.06,Medium,M,No,30,Yes,Yes,Yes,No,No,Yes,No
130,8.07,Medium,F,No,23,No,No,No,No,No,Yes,No
131,7.1,Long,M,No,46,No,No,No,No,Yes,No,No
132,8.31,Long,F,No,49,Yes,No,No,No,No,No,No
133,3.89,Long,M,Yes,43,No,No,No,No,No,No,Yes
134,9.89,Long,F,No,36,No,No,No,No,No,Yes,No
135,2.97,Long,F,Yes,28,No,Yes,No,No,No,Yes,No
136,3.17,Long,F,Yes,46,No,No,No,No,No,Yes,No
137,8.09,Long,F,No,32,No,Yes,Yes,No,Yes,Yes,No
138,7.57,Medium,M,No,26,Yes,No,No,No,Yes,Yes,No
139,7.87,Long,F,Yes,39,No,No,No,No,No,No,Yes
140,3.69,Medium,M,Yes,52,No,No,No,No,No,No,No
141,8.44,Long,F,No,42,Yes,No,No,No,Yes,No,No
142,3.63,Long,M,Yes,43,Yes,Yes,No,No,No,Yes,No
143,8.75,Medium,M,Yes,26,Yes,Yes,No,No,No,Yes,No
144,4.62,Short,M,No,32,No,Yes,No,Yes,No,Yes,Yes
145,3.5,Medium,M,No,46,Yes,No,No,No,No,No,No
146,4.34,Long,M,No,53,No,No,No,Yes,No,No,No
147,8.35,Long,F,No,37,No,No,No,No,No,No,No
148,7.9,Medium,F,No,34,Yes,No,No,No,No,No,No
149,3.14,Long,F,Yes,24,Yes,Yes,No,No,No,Yes,No
150,4.73,Short,M,Yes,51,Yes,No,No,Yes,No,Yes,No
151,8.79,Long,F,Yes,33,Yes,Yes,Yes,No,No,Yes,No
152,9.33,Medium,M,Yes,54,Yes,No,No,No,No,No,No
153,5.39,Long,M,Yes,35,Yes,No,No,Yes,Yes,No,No
154,3.47,Long,F,Yes,55,No,No,No,No,Yes,No,Yes
155,10.04,Long,M,Yes,19,Yes,Yes,Yes,No,No,No,No
156,5.45,Short,F,Yes,28,Yes,No,Yes,No,No,Yes,No
157,4.64,Short,F,No,50,Yes,No,No,No,Yes,No,No
158,4.13,Short,F,Yes,40,Yes,Yes,No,No,No,Yes,Yes
159,5.03,Long,M,Yes,29,No,No,No,No,Yes,No,No
160,5.6,Medium,F,Yes,45,Yes,No,No,Yes,No,No,Yes
161,2.85,Medium,M,No,49,No,No,Yes,No,Yes,No,No
162,2.67,Long,M,No,51,Yes,Yes,No,No,No,Yes,No
163,2.73,Short,M,Yes,23,Yes,No,No,No,No,No,No
164,3.72,Medium,M,No,29,No,No,No,No,No,No,No
165,7.83,Long,F,Yes,42,No,Yes,No,No,Yes,No,No
166,3.39,Long,F,No,44,Yes,Yes,No,No,Yes,No,No
167,2.16,Long,F,No,43,No,No,No,No,Yes,No,No
168,5.61,Short,F,No,42,Yes,Yes,Yes,No,Yes,Yes,No
169,5.52,Short,F,Yes,44,No,No,No,No,No,No,No
170,8.19,Medium,M,No,50,No,No,No,No,Yes,No,No
171,3.32,Long,F,Yes,42,Yes,Yes,Yes,Yes,Yes,No,Yes
172,4.63,Short,M,Yes,49,No,No,No,No,No,Yes,No
173,6.19,Medium,F,Yes,42,No,No,No,No,Yes,No,No
174,4.7,Medium,F,No,46,No,No,No,No,Yes,No,No
175,7.47,Long,M,Yes,27,Yes,No,No,No,Yes,No,Yes
176,5.13,Short,F,Yes,28,Yes,Yes,No,No,No,Yes,No
177,8.82,Long,F,No,33,Yes,No,No,No,Yes,No,Yes
178,7.54,Long,M,No,25,No,Yes,No,No,Yes,Yes,No
179,2.67,Short,M,Yes,20,No,No,No,No,No,No,No
180,9.93,Medium,F,No,19,Yes,Yes,Yes,No,No,No,No
181,9.09,Short,F,No,50,No,No,No,No,No,Yes,No
182,5.85,Long,F,No,27,Yes,Yes,No,No,Yes,Yes,No
183,5.94,Long,F,No,40,Yes,Yes,No,No,No,Yes,No
184,8.4,Short,M,No,25,No,No,No,No,Yes,No,No
185,3.69,Short,F,Yes,23,No,No,No,No,No,Yes,No
186,2.67,Long,F,Yes,32,No,No,No,No,No,No,No
187,7.56,Medium,M,No,31,No,No,No,No,No,No,No
188,8.77,Short,F,No,37,No,Yes,Yes,No,Yes,Yes,No
189,2.11,Long,M,No,24,No,No,No,No,No,No,No
190,6.15,Medium,F,No,49,No,Yes,Yes,No,No,Yes,No
191,2.45,Long,F,No,33,No,No,No,No,No,No,No
192,2.56,Short,M,Yes,26,No,No,No,No,Yes,No,No
193,8.04,Long,M,No,46,No,No,No,No,No,No,No
194,4.08,Long,F,Yes,55,Yes,No,Yes,No,No,Yes,Yes
195,2.36,Medium,F,No,22,Yes,No,No,No,No,No,No
196,7.35,Long,F,Yes,51,No,No,No,No,No,Yes,Yes
197,3.07,Long,F,Yes,28,No,No,No,No,No,No,No
198,2.2,Medium,F,Yes,32,No,No,No,No,No,Yes,No
199,2.85,Medium,M,No,50,Yes,No,No,Yes,No,No,No
200,3.82,Medium,M,Yes,52,No,No,No,No,Yes,No,No
201,6.88,Medium,F,Yes,44,No,No,No,No,No,No,No
202,8.44,Long,F,Yes,43,No,Yes,No,No,Yes,Yes,No
203,5.79,Short,M,Yes,21,Yes,Yes,No,No,Yes,Yes,No
204,6.4,Short,F,Yes,44,No,No,No,No,No,No,Yes
205,6.75,Medium,F,Yes,43,Yes,No,No,No,Yes,No,No
206,6.1,Medium,M,Yes,36,Yes,Yes,Yes,No,No,Yes,No
207,9.63,Short,M,No,35,No,Yes,Yes,No,No,Yes,No
208,5.91,Long,M,Yes,36,No,Yes,No,No,No,Yes,No
209,5.73,Long,M,No,32,No,No,No,Yes,Yes,No,No
210,7.57,Long,F,No,38,No,No,No,No,No,Yes,No
211,4.26,Long,F,Yes,22,Yes,No,No,No,No,No,No
212,3.76,Medium,F,Yes,35,Yes,No,No,No,No,No,No
213,4.36,Long,M,Yes,27,Yes,Yes,No,No,No,Yes,No
214,5.77,Medium,M,No,39,No,No,No,No,Yes,Yes,Yes
215,8.01,Long,M,No,37,Yes,No,No,No,No,Yes,No
216,8.65,Medium,M,No,51,No,No,No,No,No,No,No
217,3.87,Long,F,Yes,40,No,Yes,No,No,Yes,Yes,Yes
218,4.07,Medium,M,No,48,No,No,No,No,Yes,No,No
219,2.98,Long,F,Yes,56,No,No,No,No,No,No,No
220,8.81,Long,F,No,54,No,No,No,No,No,No,No
221,2.85,Short,F,Yes,51,Yes,No,Yes,No,No,Yes,No
222,3.67,Short,M,Yes,53,No,No,No,No,No,No,No
223,3.65,Short,F,Yes,22,Yes,Yes,Yes,No,No,Yes,No
224,3.29,Medium,F,No,27,Yes,No,No,No,No,No,No
225,5.18,Medium,F,Yes,24,No,No,No,No,No,No,No
226,6.29,Short,F,Yes,22,Yes,No,Yes,No,No,Yes,No
227,4.55,Long,M,No,30,No,No,No,No,No,Yes,No
228,8.95,Short,F,No,33,Yes,No,No,No,No,No,No
229,3.84,Short,F,Yes,54,No,No,No,No,Yes,No,No
230,6.66,Medium,M,No,43,No,Yes,No,No,No,Yes,No
231,6.53,Long,M,Yes,33,No,No,No,No,No,No,No
232,8.3,Medium,F,No,54,No,No,No,No,No,No,No
233,7.36,Long,M,Yes,19,No,No,No,No,No,No,No
234,4.33,Medium,M,Yes,39,Yes,Yes,Yes,No,No,Yes,Yes
235,4.53,Long,F,Yes,32,Yes,Yes,No,No,No,No,No
236,5.41,Short,M,Yes,25,No,No,Yes,No,Yes,Yes,No
237,7,Long,F,No,50,Yes,Yes,No,No,No,Yes,No
238,5.89,Medium,M,No,47,No,No,No,Yes,No,No,No
239,2.54,Long,F,No,30,No,No,No,Yes,Yes,No,Yes
240,6.37,Long,M,Yes,32,Yes,No,No,No,No,No,No
241,9.12,Medium,M,No,37,No,No,No,No,No,No,No
242,8.16,Medium,M,No,45,No,No,No,No,Yes,No,No
243,3.41,Long,F,No,25,Yes,No,Yes,No,Yes,No,No
244,4.29,Long,M,Yes,50,Yes,No,Yes,No,No,Yes,No
245,7.67,Long,F,Yes,32,No,No,No,No,No,No,No
246,7.89,Medium,F,Yes,53,No,No,No,Yes,No,No,No
247,6.6,Short,M,No,19,No,No,No,No,No,Yes,No
248,2.81,Long,F,No,26,No,Yes,No,No,Yes,No,No
249,6.85,Short,F,Yes,45,Yes,Yes,Yes,No,No,Yes,No
250,6.4,Medium,M,No,23,No,No,No,No,No,No,No
251,5.68,Long,F,No,49,Yes,Yes,No,No,No,Yes,No
252,7.08,Short,F,No,54,Yes,Yes,Yes,No,Yes,Yes,No
253,7.3,Long,M,Yes,52,No,No,No,No,No,No,Yes
254,4.62,Long,F,No,50,No,No,No,No,Yes,No,No
255,3.64,Long,M,No,50,No,No,No,Yes,Yes,No,No
256,4.58,Short,M,No,46,No,No,No,No,No,Yes,Yes
257,3.46,Long,F,No,43,No,No,No,No,No,Yes,No
258,8.77,Short,M,Yes,42,No,Yes,Yes,No,No,Yes,No
259,2.23,Long,F,Yes,26,Yes,Yes,Yes,No,Yes,No,No
260,5.67,Medium,F,Yes,32,Yes,No,No,No,No,Yes,No
261,4.33,Long,F,No,24,No,No,No,No,No,No,No
262,9.74,Long,M,Yes,31,No,No,No,No,Yes,No,No
263,4.55,Short,M,No,34,Yes,Yes,No,No,No,Yes,No
264,4.87,Medium,M,No,45,Yes,Yes,No,No,No,No,Yes
265,4.03,Medium,M,No,52,No,No,No,No,No,Yes,No
266,6.88,Short,F,Yes,50,Yes,No,No,No,Yes,No,Yes
267,9.94,Medium,F,No,37,Yes,No,No,No,No,No,No
268,9.13,Long,F,Yes,31,No,Yes,No,No,Yes,Yes,No
269,9.33,Long,F,Yes,50,No,No,No,No,Yes,No,No
270,3.2,Short,F,Yes,27,Yes,Yes,Yes,No,No,Yes,No
271,2.31,Short,F,No,22,Yes,Yes,Yes,No,No,Yes,No
272,4.19,Short,M,No,41,No,No,No,No,Yes,No,No
273,4.33,Medium,F,Yes,35,No,No,No,No,No,No,No
274,4.26,Long,M,Yes,25,Yes,No,Yes,No,No,Yes,No
275,5.92,Medium,M,Yes,28,No,No,No,No,No,No,No
276,5.86,Medium,M,Yes,50,No,Yes,No,No,No,No,No
277,2.98,Long,M,No,52,Yes,No,No,No,No,No,Yes
278,9.89,Medium,F,Yes,28,Yes,Yes,No,No,No,Yes,No
279,5.5,Long,M,Yes,44,No,Yes,No,No,No,Yes,No
280,3.92,Long,M,Yes,44,No,No,No,No,No,No,No
281,4.06,Medium,M,No,21,No,No,No,No,No,No,No
282,9.7,Long,M,Yes,28,No,No,No,No,Yes,No,No
283,6.64,Long,F,No,20,No,No,No,No,No,Yes,No
284,3.87,Medium,F,No,41,No,No,No,No,No,No,No
285,3.92,Long,M,Yes,49,Yes,No,No,No,No,No,No
286,7.29,Long,M,No,41,No,No,No,No,No,No,No
287,2.45,Long,M,Yes,22,Yes,Yes,No,No,No,Yes,No
288,5.91,Medium,M,No,48,No,No,No,No,No,Yes,No
289,2.34,Long,F,Yes,21,Yes,No,Yes,Yes,No,No,Yes
290,6.38,Short,F,Yes,47,No,Yes,Yes,No,No,Yes,Yes
291,6.72,Medium,F,No,41,No,No,Yes,No,No,Yes,Yes
292,5.4,Short,M,Yes,26,Yes,No,Yes,No,No,Yes,No
293,5.54,Short,F,No,27,No,No,No,No,No,No,No
294,3.72,Medium,F,No,30,Yes,Yes,No,No,No,Yes,No
295,8.82,Short,M,Yes,39,No,No,No,Yes,No,No,Yes
296,10.15,Medium,F,No,25,Yes,Yes,Yes,No,Yes,Yes,Yes
297,6.85,Medium,F,Yes,27,No,No,No,No,No,No,No
298,8.31,Long,F,Yes,44,No,No,Yes,No,No,No,No
299,4.52,Medium,F,No,44,No,Yes,Yes,No,Yes,Yes,No
300,7.97,Medium,M,No,24,Yes,No,No,Yes,No,No,No
301,7.24,Medium,F,Yes,32,No,No,No,No,No,Yes,No
302,10.13,Medium,F,No,29,No,No,No,No,Yes,Yes,No
303,6.97,Long,F,No,50,No,No,No,No,Yes,No,No
304,8.76,Medium,M,No,20,Yes,No,No,No,No,No,No
305,3.63,Medium,M,No,43,Yes,No,No,No,No,No,No
306,5.83,Short,M,No,21,Yes,Yes,Yes,No,No,Yes,No
307,4.22,Long,F,Yes,24,No,Yes,No,No,No,Yes,No
308,4.19,Long,F,Yes,34,No,Yes,No,No,No,Yes,No
309,7.5,Short,M,No,42,No,No,No,No,No,No,No
310,4.8,Short,M,Yes,49,Yes,Yes,Yes,No,No,Yes,Yes
311,2.05,Long,F,No,38,No,No,No,No,No,No,No
312,7.62,Long,F,Yes,42,Yes,Yes,Yes,No,No,Yes,No
313,9.95,Short,F,No,33,No,Yes,No,No,No,Yes,No
314,5.21,Medium,M,No,26,No,No,No,No,No,Yes,No
315,5.15,Long,M,Yes,26,Yes,No,Yes,No,No,Yes,Yes
316,3.24,Medium,F,No,27,No,No,No,No,Yes,No,No
317,4.39,Long,M,Yes,25,No,No,No,No,Yes,No,Yes
318,9.94,Short,M,No,53,Yes,No,No,Yes,Yes,Yes,Yes
319,4.27,Medium,M,No,37,No,No,No,No,No,Yes,No
320,7.65,Long,M,No,37,No,Yes,Yes,No,No,Yes,No
321,4.24,Medium,M,Yes,30,No,No,No,No,Yes,No,No
322,7.59,Medium,M,No,32,No,Yes,Yes,No,No,Yes,No
323,7,Short,F,No,45,No,No,Yes,No,No,Yes,No
324,2.1,Medium,F,No,30,No,No,No,No,No,No,No
325,9.7,Medium,F,No,42,No,No,No,No,No,No,Yes
326,8.79,Medium,F,Yes,36,No,No,No,No,Yes,No,No
327,8.78,Medium,M,No,21,No,No,No,No,Yes,No,No
328,2.59,Long,F,No,34,Yes,No,No,No,No,Yes,No
329,6.78,Long,M,Yes,43,Yes,No,No,No,No,Yes,No
330,8.18,Long,M,Yes,47,No,No,No,No,No,No,No
331,7.08,Long,F,Yes,36,Yes,Yes,No,No,No,Yes,No
332,2.43,Long,F,Yes,36,No,No,No,No,No,No,No
333,5.43,Long,F,Yes,26,No,No,No,No,No,No,No
334,4.2,Long,M,Yes,44,No,Yes,No,Yes,Yes,Yes,Yes
335,8.02,Long,F,Yes,36,Yes,Yes,No,No,No,No,No
336,4.87,Short,F,No,45,No,No,Yes,Yes,No,Yes,No
337,6.26,Long,M,No,32,No,No,No,No,No,Yes,No
338,4.41,Medium,M,Yes,50,No,Yes,No,No,Yes,No,No
339,7.74,Medium,F,No,40,No,No,No,No,Yes,Yes,No
340,2.6,Long,M,Yes,36,Yes,Yes,Yes,No,No,No,No
341,5.74,Short,F,No,38,No,No,Yes,No,Yes,Yes,No
342,5.3,Medium,M,No,26,No,No,No,No,No,No,No
343,2.39,Short,M,No,46,Yes,Yes,Yes,No,No,Yes,No
344,9.68,Long,F,Yes,44,Yes,Yes,No,Yes,No,No,Yes
345,9.71,Long,F,No,38,No,No,No,No,No,No,No
346,3.05,Medium,M,Yes,38,No,No,No,No,No,No,No
347,9.82,Short,M,No,44,No,No,No,No,No,No,No
348,6.77,Medium,M,Yes,19,No,No,No,No,No,No,No
349,3,Medium,M,Yes,24,Yes,Yes,No,No,No,Yes,No
350,5.27,Medium,M,No,44,No,No,No,No,No,No,No
351,9.25,Long,F,No,22,No,No,Yes,No,No,No,No
352,5.43,Short,F,Yes,25,No,No,No,No,Yes,No,No
353,4.99,Medium,F,No,27,No,Yes,No,No,No,No,Yes
354,5.71,Medium,F,No,41,Yes,No,Yes,No,No,No,No
355,8.57,Long,M,Yes,38,No,No,No,No,No,No,No
356,5.74,Long,F,No,26,No,No,No,No,Yes,No,No
357,3.1,Short,M,No,25,No,No,No,No,No,No,No
358,4.33,Medium,M,Yes,51,No,No,No,No,Yes,Yes,No
359,2.41,Medium,F,No,49,Yes,Yes,Yes,No,No,Yes,No
360,7.84,Short,F,Yes,38,No,No,No,No,Yes,Yes,No
361,3.76,Short,M,Yes,20,No,No,No,No,Yes,No,No
362,9.12,Medium,F,Yes,34,No,No,No,No,Yes,Yes,Yes
363,5.03,Medium,F,No,31,Yes,No,No,No,No,Yes,No
364,2.61,Medium,F,Yes,34,Yes,Yes,Yes,No,Yes,Yes,No
365,9.64,Long,M,No,29,No,Yes,No,Yes,Yes,Yes,Yes
366,6.15,Medium,F,No,48,No,No,No,No,No,No,No
367,8.23,Medium,M,No,42,No,Yes,No,No,Yes,Yes,Yes
368,3.27,Long,M,Yes,26,No,No,No,No,No,No,Yes
369,2.68,Medium,F,Yes,34,Yes,Yes,No,No,Yes,Yes,No
370,7.31,Medium,F,Yes,29,Yes,No,No,No,No,Yes,No
371,5.51,Long,M,Yes,23,Yes,Yes,No,No,No,Yes,No
372,3.19,Medium,M,Yes,38,Yes,Yes,No,No,No,Yes,No
373,4.81,Long,F,No,30,No,No,No,No,No,No,No
374,3.85,Medium,M,No,33,No,No,No,No,No,Yes,No
375,3.19,Medium,F,No,31,No,No,No,No,No,No,No
376,8.94,Medium,F,Yes,32,No,No,No,No,Yes,No,No
377,2.32,Medium,F,No,18,No,No,No,No,Yes,No,No
378,9.96,Long,F,No,25,No,No,No,No,No,No,No
379,7.68,Short,F,No,56,No,No,No,No,No,No,No
380,6.46,Short,F,No,35,Yes,No,No,No,Yes,No,No
381,4.19,Short,M,Yes,33,No,Yes,No,No,No,Yes,No
382,5.22,Long,M,Yes,29,Yes,Yes,No,No,Yes,Yes,No
383,4.29,Medium,M,Yes,38,No,No,No,No,No,No,No
384,10.07,Medium,F,No,52,Yes,Yes,Yes,No,No,Yes,No
385,9.47,Long,M,No,27,Yes,No,No,No,No,No,Yes
386,8.07,Long,M,Yes,25,Yes,No,No,No,Yes,No,No
387,5.64,Long,M,Yes,42,Yes,Yes,Yes,No,Yes,Yes,No
388,9.75,Long,M,Yes,29,No,No,No,No,Yes,No,No
389,2.6,Medium,F,No,38,No,No,No,No,No,No,No
390,3.75,Short,F,No,47,No,No,No,No,Yes,No,No
391,8.8,Long,F,No,53,Yes,Yes,No,No,No,Yes,No
392,3.47,Long,F,Yes,52,Yes,Yes,Yes,No,No,Yes,No
393,5.97,Long,F,No,40,Yes,No,Yes,No,Yes,No,No
394,2.75,Medium,F,Yes,53,Yes,No,No,No,No,No,No
395,7.57,Medium,M,No,49,Yes,Yes,No,No,No,Yes,No
396,4.56,Short,M,Yes,48,Yes,Yes,No,No,No,Yes,No
397,3.3,Long,M,Yes,49,No,Yes,Yes,No,Yes,Yes,No
398,7.05,Short,F,Yes,52,Yes,No,No,No,Yes,Yes,No
399,9.02,Medium,F,No,45,No,No,Yes,No,No,No,No
400,7.04,Long,F,Yes,48,No,Yes,No,No,No,Yes,No
401,4.85,Medium,F,No,27,Yes,Yes,No,No,No,No,No
402,4.74,Short,M,Yes,52,Yes,Yes,No,Yes,Yes,Yes,No
403,9.09,Short,F,Yes,45,Yes,Yes,Yes,No,Yes,Yes,Yes
404,4.18,Medium,F,No,38,No,No,No,Yes,No,Yes,No
405,8.85,Medium,M,Yes,27,Yes,Yes,No,No,No,Yes,No
406,2.11,Long,F,No,31,No,No,Yes,No,Yes,No,No
